logical_no,source_rows,section,section_code,feature_code,tariff_code,service_code,fee_code,name_fa,calc_source_type,calc_strategy,basis_type,fixed_amount,source_percent,rate_value,min_fee,max_fee,rate_period_code,currency_code,source_notes,source_service_text,source_max_text,import_status,review_reason,config_hash,tier_first_upper
1,2,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-1,,CBI1404_GAR_1_1_01,ضمانت نامه در مقابل 100 درصد سپرده نقدی,مبلغ ثابت,FIXED,Flat,812500,,,,,,IRR,,"مقطوع 812,500 ریال",ضمانت نامه در مقابل 100 درصد سپرده نقدی,SAFE,,35d40d3bd107c30284db7fea64879735979b2a22ef1926f1d118635cd1abcf97,
2,3,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-2,,CBI_GUARANTEE_DEPOSIT_FEE,صدور ضمانت نامه در مقابل حساب های قرض الحسنه پس انداز,درصد,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.5,0.005,812500,,YEAR,IRR,,"0/5 درصد مبلغ در سال حداقل 812,500 ریال",صدور ضمانت نامه در مقابل حساب های قرض الحسنه پس انداز,EXISTING_ENRICHED,,378e3aeebef2bed72979c5fa36b80e325ee197a72d4d990242114689c092d74a,
3,4,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-3,,CBI1404_GAR_1_3_01,ضمانت نامه در مقابل سپرده مدت دار(ریالی),درصد,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.5,0.005,812500,,YEAR,IRR,,"0/5 درصد مبلغ در سال حداقل 812,500 ریال",ضمانت نامه در مقابل سپرده مدت دار(ریالی),SAFE,,f6175f6f235836a511a371434976e93855a3adb06205619f688e03cd3402c0c3,
4,5,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-4,,CBI1404_GAR_1_4_01,ضمانت نامه در مقابل سپرده مدت دار(ارزی),درصد,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.5,0.005,812500,,YEAR,IRR,,"0/5 درصد مبلغ در سال حداقل 812,500 ریال",ضمانت نامه در مقابل سپرده مدت دار(ارزی),SAFE,,0b12fd7157b9bdd2daeca5d72c6ca287c08f1f18a8848b875afae37ded7356bb,
5,6,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-5,,CBI1404_GAR_1_5_01,ضمانت نامه در مقابل طلا *,درصد,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.75,0.0075,812500,,YEAR,IRR,,"0/75 درصد مبلغ در سال حداقل 812,500 ریال",ضمانت نامه در مقابل طلا *,SAFE,,76f17d75e9ec5a77c03ba6bf87916a76d0f0f40b53bf690dd25f8ae891105200,
6,7,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-6,,CBI1404_GAR_1_6_01,ضمانت نامه در مقابل ضمانت نامه های مؤسسات اعتباری داخلی,درصد,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.75,0.0075,812500,,YEAR,IRR,,"0/75 درصد مبلغ در سال حداقل 812,500 ریال",ضمانت نامه در مقابل ضمانت نامه های مؤسسات اعتباری داخلی,SAFE,,cd31205c619ec13fd7d859914095cc8802a497d574f0e426965304d159a1055e,
7,8,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-6,,CBI1404_GAR_1_6_02,ضمانت نامه در مقابل ضمانت نامه های اعتباری(ارزی ریالی) صادره توسط صندوق ضمانت صادرات ایران و سایر صندوق هایی که به موجب قانون تأسیس می شوند,درصد,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.75,0.0075,812500,,YEAR,IRR,,"0/75 درصد مبلغ در سال حداقل 812,500 ریال",,SAFE,,cf20dbf00e2c5d2ccfa1ec139ff5fc87586103711031cdea5bc986ffe48d0c4e,
8,9,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-8,,CBI1404_GAR_1_8_01,ضمانت نامه در مقابل ضمانت نامه های بانک های خارجی معتبر,درصد,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,1.75,0.0175,812500,,YEAR,IRR,,"1/75 درصد مبلغ در سال حداقل 812,500 ریال",ضمانت نامه در مقابل ضمانت نامه های بانک های خارجی معتبر 1/75,SAFE,,6d8fa83088cff51eeb29f1d5b53c73e943f696d021b50e3f238c12fce7a7ad77,
9,10,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-9,,CBI1404_GAR_1_9_01,ضمانت نامه در مقابل اوراق بهادار بدون ریسک**,درصد,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.5,0.005,812500,,YEAR,IRR,,"0/5 درصد مبلغ در سال حداقل 812,500 ریال",ضمانت نامه در مقابل اوراق بهادار بدون ریسک**,SAFE,,b5eb2f8a6f4156f945c5aaca50b7ac511acfa61397c029f5bbe19b66c8d22040,
10,11,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-10,,CBI1404_GAR_1_10_01,ضمانت نامه در مقابل سایر اوراق بهادار***,درصد,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,1,0.01,812500,,YEAR,IRR,,"1 درصد مبلغ در سال حداقل 812,500 ریال",ضمانت نامه در مقابل سایر اوراق بهادار***,SAFE,,9c8faa46674d3a6ca5e6845ab5304f9db4b4d7d7d588370c1b8b331e5af7c4c2,
