logical_no,source_rows,section,section_code,feature_code,tariff_code,service_code,fee_code,name_fa,calc_source_type,calc_strategy,basis_type,fixed_amount,source_percent,rate_value,min_fee,max_fee,rate_period_code,currency_code,source_notes,source_service_text,source_max_text,import_status,review_reason,config_hash,tier_first_upper
17,18,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-17,,CBI1404_GAR_1_17_01,تمدید و تجدیدضمانت نامه,,EXTERNAL_VALUE,Other,,,,,,,IRR,,"کارمزد تمدید برابر با نرخ صدور ضمانت نامه در زمان تمدید حداقل 812,500 ریال",تمدید و تجدیدضمانت نامه کارمزد تمدید برابر با نرخ صدور ضمانت نامه در زمان تمدید,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,94bd7028db526580226369582d5f7f1c68324b0f4b55166113d416a8435fa2a7,
18,19,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-18,,CBI1404_GAR_1_18_01,تقلیل ضمانت نامه,,EXTERNAL_VALUE,Other,,,,,,,IRR,,"کارمزد اخذ شده در هنگام صدور نسبت به مابه التفاوت مبلغ برای مدت باقی مانده پس از کسر یک ماه به نفع بانک محاسبه و مسترد می گردد، حداقل مبلغ کارمزد صدور ضمانت نامه (812,500 ریال) غیرقابل برگشت می باشد .",تقلیل ضمانت نامه,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,0723d37d8ea2dca7ab5b95643e95577005dfe6a3fc728df18bdb0d0c765274ac,
19,20,"صدور ضمانتنامه شرکت در مناقصه , مزایده و سایر ضمانت نامه ها",GAR,CBI_GUARANTEE_FEE_GROUP,1-18,,CBI1404_GAR_1_18_02,ابطال ضمانت نامه قبل از سررسید (غیر از ضبط ضمانت نامه),,EXTERNAL_VALUE,Other,,,,,,,IRR,,"کارمزد اخذ شده در هنگام صدور نسبت به مابه التفاوت مبلغ برای مدت باقی مانده پس از کسر یک ماه به نفع بانک محاسبه و مسترد می گردد، حداقل مبلغ کارمزد صدور ضمانت نامه (812,500 ریال) غیرقابل برگشت می باشد .",,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,8e605b89a1aea472e3193bbd8aa097799bee5e64f2b3f2c194544d00d6ad1ead,
27,28,صندوق های اجاره ای,SDB,CBI_SAFE_DEPOSIT_FEE_GROUP,3-1,,CBI1404_SDB_3_1_01,صندوق اجاره ای(اجاره بها سالانه، ودیعه),,EXTERNAL_VALUE,Other,,,,,,,IRR,,"هر سانتی متر مکعب 180 ریال(حداقل 900,000 ریال) ، همچنین حجم ودیعه اجاره بها 8 برابر مبلغ اجاره بها، حداقل مبلغ 7,200,000 ریال",صندوق اجاره ای(اجاره بها ساالنه، ودیعه),EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,1e7d4f7503585709aa77f8c2844ba3c879510a92ae06d134074ca0efc08a9679,
34,35,"مدیریت اوراق بهادار مشتریان (اوراق مشارکت , گواهی سپرده , صکوک و ...)",SEC,CBI_SECURITIES_FEE_GROUP,4-3,,CBI1404_SEC_4_3_01,تضمین اصل و سود اوراق بهادار(شامل اوراق مشارکت، صکوک و ...) توسط بانک عامل *,,EXTERNAL_VALUE,Other,,,,,,,IRR,,حداقل به میزان کارمزد صدور ضمانت نامه ها متناسب با وثایق و حداکثر تا دو برابر آن,تضمین اصل و سود اوراق بهادار(شامل اوراق مشارکت، صکوک و ...) توسط بانک عامل *,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,638d44e08e02af3c94f21bdbde8632fbc523723dcd173cd11f6fb8f5e69135fa,
36,37,"مدیریت اوراق بهادار مشتریان (اوراق مشارکت , گواهی سپرده , صکوک و ...)",SEC,CBI_SECURITIES_FEE_GROUP,4-5,,CBI1404_SEC_4_5_01,کارمزد عاملیت و ضمانت اوراق گواهی اعتبار مولد(گام),,EXTERNAL_VALUE,Other,,,,,,,IRR,,حداکثر به میزان کارمزد صدور ضمانت نامه ها و متناسب با وثایق دریافتی,کارمزد عاملیت و ضمانت اوراق گواهی اعتبار مولد(گام),EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,fa12a2f2c28fc13d1901691a3e408ec02ebcb69e4038c76b401faafbcd52ac89,
44,45,وصول بروات,COL,CBI_BILL_COLLECTION_FEE_GROUP,5-4,,CBI1404_COL_5_4_01,فروش سفته/ بارنامه (از متقاضی),مبلغ ثابت,EXTERNAL_VALUE,Other,,,,,,,IRR,برگ,"برای هر برگ 7,500 ریال حداکثر 1,500,000 ریال",فروش سفته/ بارنامه (از متقاضی)برای هر برگ,REVIEW_CONFLICT,"مبلغ ساختاری 75,000 ریال است ولی متن نوع خدمت 7,500 ریال برای هر برگ ذکر می‌کند؛ نیازمند تأیید منبع مقرراتی.",309b3f12a13fa7e6d08f14770df72f3a4613ae5af9486803ec20ab1aa034baef,
50,51,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-5,,CBI1404_CUR_6_1_5_02,اخذ هر گونه اطلاعات لازم جهت افتتاح حساب جاری (با دست چک),,EXTERNAL_VALUE,Other,,,,,,,IRR,"هزینه استعلام (هزینه استعلام شامل استعلام از سامانه شاهکار , اخذ تاییدیه و ... می باشد)","حداقل 75,000 ریال + هزینه استعلام (هزینه استعلام شامل استعلام از سامانه شاهکار , اخذ تاییدیه و ... می باشد)",,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,beb3e337f12b9c279ad51020d0519dcc7467440d1db804747d4d8db4536a4fc7,
59,60,حساب قرض الحسنه جاری,CUR,CBI_CURRENT_ACCOUNT_FEE_GROUP,6-1-15,,CBI1404_CUR_6_1_15_01,نگهداری امانی چک های با سررسید بیش از 30 روز (به استثنای چک های تسهیلاتی),مبلغ ثابت,EXTERNAL_VALUE,Other,,,,,,,IRR,برگ چک,"بابت هر برگ چک 7,500 ریال",نگهداری امانی چک های با سررسید بیش از 30 روز,REVIEW_CONFLICT,"مبلغ ساختاری 75,000 ریال است ولی متن نوع خدمت 7,500 ریال بابت هر برگ چک ذکر می‌کند؛ نیازمند تأیید منبع مقرراتی.",d0f70f9a3b16c068dfd289a47fdcbe02d5a9b7acf3434f622f6a470508bb8cf0,
86,"87,88,89",ارزیابی اموال منقول و غیرمنقول,APP,CBI_APPRAISAL_FEE_GROUP,7-1,,CBI1404_APP_7_1_01,ارزیابی ماشین آلات و کالا,پلکانی,COMPOSITE,RatePerBrackets,,0.2,0.002,,,,IRR,,"دو میلیارد ریال مبلغ ارزیابی 2,587,500 ریال؛ بیش از دو میلیارد ریال تا 400 میلیارد ریال نسبت به مازاد، 2 در هزار یا معادل تعرفه کارشناسان رسمی دادگستری هر کدام که کمتر باشد؛ مازاد بر 400 میلیارد ریال ارجاع به کارشناس رسمی دادگستری",ارزیابی ماشین آالت و کاالتا,SAFE_TIERED_EXTERNAL,پله سوم و تعرفه کارشناس رسمی مقدار بیرونی هستند؛ وابستگی خارجی صریحاً مدل شده و عددی جعل نشده است.,b1a7cceb632d37bb87970e583990a6950af73c0849d95ca1d9acb26fc0e6b21f,2000000000
