component_id,source_row,page,section_no,tariff_code,service_name,sequence,rule_type,status,customer_group,percent,permille,rate_limit,amount,min_fee,max_fee,lower_bound,upper_bound,range_basis,basis,unit,frequency,extra_cost,reference,condition,description,original_fee_text,source_ref
1-1-01,2,1,1,1-1,ضمانتنامه در مقابل 100 درصد سپرده نقدی,1,FIXED_AMOUNT,دارای کارمزد,,,,,1300000,,,,,,,,,,,,"مقطوع 1,300,000 ریال","مقطوع 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-2-01,3,1,1,1-2,ضمانتنامه در مقابل انواع حساب های سپرده اعم از قرض الحسنه پس انداز و سرمایه گذاری مدت دار (ریالی و ارزی),1,RATE,دارای کارمزد,,0.5,,دقیق,,1300000,,,,,مبلغ خدمت/معامله,,سالانه,,,,"0.5 درصد مبلغ در سال، حداقل 1,300,000 ریال","0.5 درصد مبلغ در سال، حداقل 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-3-01,4,1,1,1-3,ضمانتنامه در مقابل طلا (1),1,RATE,دارای کارمزد,,0.75,,دقیق,,1300000,,,,,مبلغ خدمت/معامله,,سالانه,,,,"0.75 درصد مبلغ در سال، حداقل 1,300,000 ریال","0.75 درصد مبلغ در سال، حداقل 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-4-01,5,1,1,1-4,ضمانتنامه در مقابل ضمانتنامه های صادره توسط مؤسسات اعتباری داخلی,1,RATE,دارای کارمزد,,0.75,,دقیق,,1300000,,,,,مبلغ خدمت/معامله,,سالانه,,,,"0.75 درصد مبلغ در سال، حداقل 1,300,000 ریال","0.75 درصد مبلغ در سال، حداقل 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-5-01,6,1,1,1-5,ضمانتنامه در مقابل ضمانتنامه های اعتباری (ارزی-ریالی) صادره توسط صندوق ضمانت صادرات ایران و سایر صندوق هایی که به موجب قانون تأسیس می شوند,1,RATE,دارای کارمزد,,0.75,,دقیق,,1300000,,,,,مبلغ خدمت/معامله,,سالانه,,,,"0.75 درصد مبلغ در سال، حداقل 1,300,000 ریال","0.75 درصد مبلغ در سال، حداقل 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-6-01,7,1,1,1-6,ضمانتنامه در مقابل ضمانتنامه های صادره توسط بانک های خارجی معتبر,1,RATE,دارای کارمزد,,1.75,,دقیق,,1300000,,,,,مبلغ خدمت/معامله,,سالانه,,,,"1.75 درصد مبلغ در سال، حداقل 1,300,000 ریال","1.75 درصد مبلغ در سال، حداقل 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-7-01,8,1,1,1-7,ضمانتنامه در مقابل اوراق بهادار بدون ریسک (2),1,RATE,دارای کارمزد,,0.5,,دقیق,,1300000,,,,,مبلغ خدمت/معامله,,سالانه,,,,"0.5 درصد مبلغ در سال، حداقل 1,300,000 ریال","0.5 درصد مبلغ در سال، حداقل 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-8-01,9,1,1,1-8,ضمانتنامه در مقابل سایر اوراق بهادار (3),1,RATE,دارای کارمزد,,1,,دقیق,,1300000,,,,,مبلغ خدمت/معامله,,سالانه,,,,"1 درصد مبلغ در سال، حداقل 1,300,000 ریال","1 درصد مبلغ در سال، حداقل 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-9-01,10,1,1,1-9,ضمانتنامه در مقابل سهام پذیرفته شده در بورس (4),1,RATE,دارای کارمزد,,1,,دقیق,,1300000,,,,,مبلغ خدمت/معامله,,سالانه,,,,"1 درصد مبلغ در سال، حداقل 1,300,000 ریال","1 درصد مبلغ در سال، حداقل 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-10-01,11,1,1,1-10,ضمانتنامه در مقابل اموال غیرمنقول سهل البیع (با تشخیص مؤسسه اعتباری),1,RATE,دارای کارمزد,,1,,دقیق,,1300000,,,,,مبلغ خدمت/معامله,,سالانه,,,,"1 درصد مبلغ در سال، حداقل 1,300,000 ریال","1 درصد مبلغ در سال، حداقل 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-11-01,12,1,1,1-11,ضمانتنامه در مقابل سایر اموال غیرمنقول,1,RATE,دارای کارمزد,,1.5,,دقیق,,1300000,,,,,مبلغ خدمت/معامله,,سالانه,,,,"1.5 درصد مبلغ در سال، حداقل 1,300,000 ریال","1.5 درصد مبلغ در سال، حداقل 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-12-01,13,1,1,1-12,ضمانتنامه در مقابل توثیق سند کشتی و هواپیما دارای بیمه نامه معتبر,1,RATE,دارای کارمزد,,1.5,,دقیق,,1300000,,,,,مبلغ خدمت/معامله,,سالانه,,,,"1.5 درصد مبلغ در سال، حداقل 1,300,000 ریال","1.5 درصد مبلغ در سال، حداقل 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-13-01,14,1,1,1-13,ضمانتنامه در مقابل اسناد تجاری نظیر سفته و چک,1,RATE,دارای کارمزد,,2.25,,دقیق,,1300000,,,,,مبلغ خدمت/معامله,,سالانه,,,,"2.25 درصد مبلغ در سال، حداقل 1,300,000 ریال","2.25 درصد مبلغ در سال، حداقل 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-14-01,15,1,1,1-14,ضمانتنامه در مقابل رسید انبارهای عمومی,1,RATE,دارای کارمزد,,2,,دقیق,,1300000,,,,,مبلغ خدمت/معامله,,سالانه,,,,"2 درصد مبلغ در سال، حداقل 1,300,000 ریال","2 درصد مبلغ در سال، حداقل 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-15-01,16,1,1,1-15,ضمانتنامه در مقابل سایر وثایق,1,RATE,دارای کارمزد,,2.25,,دقیق,,,,,,,,,سالانه,,,,2.25 درصد در سال,2.25 درصد در سال,پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-16-01,17,1,1,1-16,تمدید ضمانتنامه,1,REFERENCE,تعرفه مرجع,,,,,,1300000,,,,,,,,,نرخ صدور ضمانتنامه در زمان تمدید,تمدید ضمانتنامه,"کارمزد تمدید برابر با نرخ صدور ضمانتنامه در زمان تمدید؛ حداقل 1,300,000 ریال","کارمزد تمدید برابر با نرخ صدور ضمانتنامه در زمان تمدید؛ حداقل 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-17-01,18,1,1,1-17,تقلیل ضمانتنامه,1,REFUND_FORMULA,فرمول استرداد,,,,,,1300000,,,,,مابه التفاوت مبلغ و مدت باقی مانده,,,,,پس از کسر یک ماه به نفع بانک؛ حداقل کارمزد صدور غیرقابل برگشت,"کارمزد اخذشده در هنگام صدور نسبت به مابه التفاوت مبلغ برای مدت باقی مانده پس از کسر یک ماه به نفع بانک محاسبه و مسترد می گردد؛ حداقل مبلغ کارمزد صدور ضمانتنامه (1,300,000 ریال) غیرقابل برگشت می باشد","کارمزد اخذشده در هنگام صدور نسبت به مابه التفاوت مبلغ برای مدت باقی مانده پس از کسر یک ماه به نفع بانک محاسبه و مسترد می گردد؛ حداقل مبلغ کارمزد صدور ضمانتنامه (1,300,000 ریال) غیرقابل برگشت می باشد",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-18-01,19,1,1,1-18,ابطال ضمانتنامه قبل از سررسید (غیر از ضبط ضمانتنامه) (5),1,REFUND_FORMULA,فرمول استرداد,,,,,,1300000,,,,,مابه التفاوت مبلغ و مدت باقی مانده,,,,,پس از کسر یک ماه به نفع بانک؛ حداقل کارمزد صدور غیرقابل برگشت,"کارمزد اخذشده در هنگام صدور نسبت به مابه التفاوت مبلغ برای مدت باقی مانده پس از کسر یک ماه به نفع بانک محاسبه و مسترد می گردد؛ حداقل مبلغ کارمزد صدور ضمانتنامه (1,300,000 ریال) غیرقابل برگشت می باشد","کارمزد اخذشده در هنگام صدور نسبت به مابه التفاوت مبلغ برای مدت باقی مانده پس از کسر یک ماه به نفع بانک محاسبه و مسترد می گردد؛ حداقل مبلغ کارمزد صدور ضمانتنامه (1,300,000 ریال) غیرقابل برگشت می باشد",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-19-01,20,1,1,1-19,صدور المثنی ضمانتنامه های بانکی,1,FIXED_AMOUNT,دارای کارمزد,,,,,1300000,,,,,,,,,,,,"مقطوع 1,300,000 ریال","مقطوع 1,300,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 1
1-20-01,21,1,1,1-20,انتقال ذی نفع ضمانتنامه,1,RATE,دارای کارمزد,,,0.5,حداکثر,,1300000,,,,,مبلغ ضمانتنامه,,,,,صرفاً بر عهده تأمین کننده,"حداکثر معادل نیم در هزار مبلغ ضمانتنامه صرفاً بر عهده تأمین کننده، با لحاظ حداقل مبلغ کارمزد 1,300,000 ریال مشابه کارمزد صدور ضمانتنامه","حداکثر معادل نیم در هزار مبلغ ضمانتنامه صرفاً بر عهده تأمین کننده، با لحاظ حداقل مبلغ کارمزد 1,300,000 ریال مشابه کارمزد صدور ضمانتنامه",پیوست (کارمزدهای ریالی).pdf - صفحه 1
2-1-01,22,2,2,2-1,صدور چک تضمین شده یا رمزدار بین بانکی,1,FIXED_AMOUNT,دارای کارمزد,,,,,144000,,,,,,,فقره,,,,,"هر فقره 144,000 ریال","هر فقره 144,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 2
2-2-01,23,2,2,2-2,اعلام منع پرداخت چک های بانکی/بین بانکی مفقودی,1,FIXED_AMOUNT,دارای کارمزد,,,,,1152000,,,,,,,,,,,,"مقطوع 1,152,000 ریال","مقطوع 1,152,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 2
2-3-01,24,2,2,2-3,صدور المثنی چک بانکی,1,FIXED_AMOUNT,دارای کارمزد,,,,,144000,,,,,,,فقره,,,,,"هر فقره 144,000 ریال","هر فقره 144,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 2
2-4-01,25,2,2,2-4,استرداد/ابطال چک بانکی/بین بانکی به درخواست مشتری,1,FIXED_AMOUNT,دارای کارمزد,,,,,288000,,,,,,,فقره,,,,,"هر فقره 288,000 ریال","هر فقره 288,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 2
3-1-01,26,2,3,3-1,صندوق اجاره ای (اجاره بها و ودیعه سالانه),1,RATE_UNIT,دارای کارمزد,,,,,288,1440000,,,,,حجم صندوق,سانتی متر مکعب,سالانه,,,اجاره بها,"288 ریال به ازای هر سانتی متر مکعب حجم؛ حداقل 1,440,000 ریال","هر سانتی متر مکعب حجم 288 ریال (حداقل 1,440,000 ریال)؛ همچنین ودیعه اجاره 8 برابر مبلغ اجاره بها، حداقل مبلغ 11,520,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 2
3-1-02,26,2,3,3-1,صندوق اجاره ای (اجاره بها و ودیعه سالانه),2,DEPOSIT_MULTIPLIER,دارای ودیعه,,,,,,11520000,,,,,اجاره بها,سال,سالانه,,,ودیعه اجاره,"ودیعه اجاره برابر 8 برابر مبلغ اجاره بها؛ حداقل 11,520,000 ریال","هر سانتی متر مکعب حجم 288 ریال (حداقل 1,440,000 ریال)؛ همچنین ودیعه اجاره 8 برابر مبلغ اجاره بها، حداقل مبلغ 11,520,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 2
3-2-01,27,2,3,3-2,هر بار استفاده از صندوق,1,FIXED_AMOUNT,دارای کارمزد,,,,,120000,,,,,,,,,,,,"120,000 ریال","120,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 2
3-3-01,28,2,3,3-3,مفقودی کلیدها,1,FIXED_AMOUNT,دارای کارمزد,,,,,288000,,,,,,,,,تمامی هزینه های مربوط به قفل ها و کلیدها,,,"تمامی هزینه های مربوط به قفل ها و کلیدها + 288,000 ریال","تمامی هزینه های مربوط به قفل ها و کلیدها + 288,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 2
