tariff_code,section_no,section_code,feature_code,section_name,service_name,fee_text,fee_code,category_code,strategy,basis_type,fixed_amount,rate_value,min_fee,max_fee,rate_period_code,component_count,composite,page,source_row,config_hash
1-1,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ضمانتنامه در مقابل 100 درصد سپرده نقدی,"مقطوع 1,300,000 ریال",CBI1405R_GAR_1_1,CBI1405R_GAR,FIXED,Flat,1300000,,,,,1,خیر,1,2,c86c771375a21fae9b4b364a0171fbb6248dc271d448122341995a53a73af413
1-2,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ضمانتنامه در مقابل انواع حساب های سپرده اعم از قرض الحسنه پس انداز و سرمایه گذاری مدت دار (ریالی و ارزی),"0.5 درصد مبلغ در سال، حداقل 1,300,000 ریال",CBI1405R_GAR_1_2,CBI1405R_GAR,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.005,1300000,,YEAR,1,خیر,1,3,5fb51f39f82cd2d44e83b46267a4209e35906b0ac5b2f84822b7c675f322e6f4
1-3,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ضمانتنامه در مقابل طلا (1),"0.75 درصد مبلغ در سال، حداقل 1,300,000 ریال",CBI1405R_GAR_1_3,CBI1405R_GAR,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.0075,1300000,,YEAR,1,خیر,1,4,618253e38b98daef0fec577dd71fe903d95f3edb8ea69dab7a48f3a971702563
1-4,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ضمانتنامه در مقابل ضمانتنامه های صادره توسط مؤسسات اعتباری داخلی,"0.75 درصد مبلغ در سال، حداقل 1,300,000 ریال",CBI1405R_GAR_1_4,CBI1405R_GAR,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.0075,1300000,,YEAR,1,خیر,1,5,59293f9c653b7b4cd641113b76b1a7ca92eda23032379d2642c8adf86779239e
1-5,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ضمانتنامه در مقابل ضمانتنامه های اعتباری (ارزی-ریالی) صادره توسط صندوق ضمانت صادرات ایران و سایر صندوق هایی که به موجب قانون تأسیس می شوند,"0.75 درصد مبلغ در سال، حداقل 1,300,000 ریال",CBI1405R_GAR_1_5,CBI1405R_GAR,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.0075,1300000,,YEAR,1,خیر,1,6,309f17ce03e17f87cc5765c969d84a836619a7f33cdd4cc5d019c00f5a19c250
1-6,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ضمانتنامه در مقابل ضمانتنامه های صادره توسط بانک های خارجی معتبر,"1.75 درصد مبلغ در سال، حداقل 1,300,000 ریال",CBI1405R_GAR_1_6,CBI1405R_GAR,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.0175,1300000,,YEAR,1,خیر,1,7,a4d23c0f25c7aa5e49e299c547d7fda2ebc98ca9b7bce5c2c09f865a18ae3b32
1-7,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ضمانتنامه در مقابل اوراق بهادار بدون ریسک (2),"0.5 درصد مبلغ در سال، حداقل 1,300,000 ریال",CBI1405R_GAR_1_7,CBI1405R_GAR,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.005,1300000,,YEAR,1,خیر,1,8,062ae729b655acff285d7dbde94bf886bec0ded3a5d00205d7db5beda31db8c0
1-8,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ضمانتنامه در مقابل سایر اوراق بهادار (3),"1 درصد مبلغ در سال، حداقل 1,300,000 ریال",CBI1405R_GAR_1_8,CBI1405R_GAR,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.01,1300000,,YEAR,1,خیر,1,9,ed3724bd8d1ef307b628e278d2050cb5bef10c1f5694e9cef39c894ae9518192
1-9,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ضمانتنامه در مقابل سهام پذیرفته شده در بورس (4),"1 درصد مبلغ در سال، حداقل 1,300,000 ریال",CBI1405R_GAR_1_9,CBI1405R_GAR,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.01,1300000,,YEAR,1,خیر,1,10,929fe778ef95f31ba16ba98c666ccd7dc842396971437a990d4fe21ec82f33bb
1-10,1,GAR,CBI_RIAL_1405_GUARANTEE_GROUP,صدور، تمدید، تقلیل، انتقال و ابطال ضمانتنامه شرکت در مناقصه، مزایده و سایر ضمانتنامه ها,ضمانتنامه در مقابل اموال غیرمنقول سهل البیع (با تشخیص مؤسسه اعتباری),"1 درصد مبلغ در سال، حداقل 1,300,000 ریال",CBI1405R_GAR_1_10,CBI1405R_GAR,ANNUALIZED_PERCENTAGE,RateWithMinimumAmount,,0.01,1300000,,YEAR,1,خیر,1,11,4e051c37d28fb735e61f97ef782e9a732fb362a3a5310cbd896053976531be2c
