action,fee_code,tariff_code,name_fa,feature_code,effective_to
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_1_01,1-1,ضمانت نامه در مقابل 100 درصد سپرده نقدی,CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI_GUARANTEE_DEPOSIT_FEE,1-2,صدور ضمانت نامه در مقابل حساب های قرض الحسنه پس انداز,CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_3_01,1-3,ضمانت نامه در مقابل سپرده مدت دار(ریالی),CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_4_01,1-4,ضمانت نامه در مقابل سپرده مدت دار(ارزی),CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_5_01,1-5,ضمانت نامه در مقابل طلا *,CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_6_01,1-6,ضمانت نامه در مقابل ضمانت نامه های مؤسسات اعتباری داخلی,CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_6_02,1-6,ضمانت نامه در مقابل ضمانت نامه های اعتباری(ارزی ریالی) صادره توسط صندوق ضمانت صادرات ایران و سایر صندوق هایی که به موجب قانون تأسیس می شوند,CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_8_01,1-8,ضمانت نامه در مقابل ضمانت نامه های بانک های خارجی معتبر,CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_9_01,1-9,ضمانت نامه در مقابل اوراق بهادار بدون ریسک**,CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_10_01,1-10,ضمانت نامه در مقابل سایر اوراق بهادار***,CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_11_01,1-11,ضمانت نامه در مقابل سهام پذیرفته شده در بورس****,CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_12_01,1-12,ضمانت نامه در مقابل اموال غیرمنقول سهل البیع(با تشخیص بانک),CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_13_01,1-13,ضمانت نامه در مقابل سایر اموال غیرمنقول,CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_14_01,1-14,ضمانت نامه در مقابل توثیق سند کشتی و هواپیما دارای بیمه نامه معتبر,CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_15_01,1-15,ضمانت نامه در مقابل سفته معتبر,CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_16_01,1-16,ضمانت نامه در مقابل رسید انبارهای عمومی,CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_17_01,1-17,تمدید و تجدیدضمانت نامه,CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_18_01,1-18,تقلیل ضمانت نامه,CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_18_02,1-18,ابطال ضمانت نامه قبل از سررسید (غیر از ضبط ضمانت نامه),CBI_GUARANTEE_FEE_GROUP,2026-09-09
ARCHIVE_OLD_RIAL,CBI1404_GAR_1_20_01,1-20,صدور المثنی ضمانت نامه های بانکی,CBI_GUARANTEE_FEE_GROUP,2026-09-09
