table,table_title,column,column_label,comment_fa,package,from_user_missing_list
REF_ACTOR_ROLE,نقش عامل عملیات,ACTOR_ROLE_CODE,کد نقش عامل عملیات,کد نقش عامل عملیات,Workflow and Interaction,Y
REF_ACTOR_ROLE,نقش عامل عملیات,NAME_FA,عنوان فارسی,عنوان فارسی نقش عامل عملیات,Workflow and Interaction,Y
REF_ACTOR_ROLE,نقش عامل عملیات,NAME_EN,عنوان انگلیسی,عنوان انگلیسی نقش عامل عملیات,Workflow and Interaction,Y
REF_ACTOR_ROLE,نقش عامل عملیات,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی نقش عامل عملیات,Workflow and Interaction,Y
REF_ACTOR_ROLE,نقش عامل عملیات,SORT_ORDER,ترتیب نمایش,ترتیب نمایش نقش عامل عملیات در فهرست‌های مرجع,Workflow and Interaction,Y
REF_ACTOR_ROLE,نقش عامل عملیات,IS_ACTIVE,فعال است؟,نشانگر فعال بودن نقش عامل عملیات؛ 1 فعال و 0 غیرفعال,Workflow and Interaction,Y
REF_ACTOR_ROLE,نقش عامل عملیات,PARENT_CODE,کد والد,کد والد نقش عامل عملیات در ساختار سلسله‌مراتبی، در صورت کاربرد,Workflow and Interaction,Y
REF_ACTOR_ROLE,نقش عامل عملیات,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار نقش عامل عملیات,Workflow and Interaction,Y
REF_ACTOR_ROLE,نقش عامل عملیات,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار نقش عامل عملیات,Workflow and Interaction,Y
REF_ACTOR_ROLE,نقش عامل عملیات,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد نقش عامل عملیات برای کنترل هم‌زمانی,Workflow and Interaction,Y
REF_ADDRESS_SOURCE,منبع نشانی,ADDRESS_SOURCE_CODE,کد منبع نشانی,کد منبع نشانی,Contact and Geography,Y
REF_ADDRESS_SOURCE,منبع نشانی,NAME_FA,عنوان فارسی,عنوان فارسی منبع نشانی,Contact and Geography,Y
REF_ADDRESS_SOURCE,منبع نشانی,NAME_EN,عنوان انگلیسی,عنوان انگلیسی منبع نشانی,Contact and Geography,Y
REF_ADDRESS_SOURCE,منبع نشانی,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی منبع نشانی,Contact and Geography,Y
REF_ADDRESS_SOURCE,منبع نشانی,SORT_ORDER,ترتیب نمایش,ترتیب نمایش منبع نشانی در فهرست‌های مرجع,Contact and Geography,Y
REF_ADDRESS_SOURCE,منبع نشانی,IS_ACTIVE,فعال است؟,نشانگر فعال بودن منبع نشانی؛ 1 فعال و 0 غیرفعال,Contact and Geography,Y
REF_ADDRESS_SOURCE,منبع نشانی,PARENT_CODE,کد والد,کد والد منبع نشانی در ساختار سلسله‌مراتبی، در صورت کاربرد,Contact and Geography,Y
REF_ADDRESS_SOURCE,منبع نشانی,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار منبع نشانی,Contact and Geography,Y
REF_ADDRESS_SOURCE,منبع نشانی,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار منبع نشانی,Contact and Geography,Y
REF_ADDRESS_SOURCE,منبع نشانی,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد منبع نشانی برای کنترل هم‌زمانی,Contact and Geography,Y
REF_ADDRESS_TYPE,نوع نشانی,ADDRESS_TYPE_CODE,کد نوع نشانی,کد نوع نشانی,Contact and Geography,Y
REF_ADDRESS_TYPE,نوع نشانی,NAME_FA,عنوان فارسی,عنوان فارسی نوع نشانی,Contact and Geography,Y
REF_ADDRESS_TYPE,نوع نشانی,NAME_EN,عنوان انگلیسی,عنوان انگلیسی نوع نشانی,Contact and Geography,Y
REF_ADDRESS_TYPE,نوع نشانی,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی نوع نشانی,Contact and Geography,Y
REF_ADDRESS_TYPE,نوع نشانی,SORT_ORDER,ترتیب نمایش,ترتیب نمایش نوع نشانی در فهرست‌های مرجع,Contact and Geography,Y
REF_ADDRESS_TYPE,نوع نشانی,IS_ACTIVE,فعال است؟,نشانگر فعال بودن نوع نشانی؛ 1 فعال و 0 غیرفعال,Contact and Geography,Y
REF_ADDRESS_TYPE,نوع نشانی,PARENT_CODE,کد والد,کد والد نوع نشانی در ساختار سلسله‌مراتبی، در صورت کاربرد,Contact and Geography,Y
REF_ADDRESS_TYPE,نوع نشانی,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار نوع نشانی,Contact and Geography,Y
REF_ADDRESS_TYPE,نوع نشانی,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار نوع نشانی,Contact and Geography,Y
REF_ADDRESS_TYPE,نوع نشانی,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد نوع نشانی برای کنترل هم‌زمانی,Contact and Geography,Y
REF_ALERT_RESOLUTION,نتیجه رسیدگی به هشدار,RESOLUTION_CODE,کد نتیجه رسیدگی به هشدار,کد نتیجه رسیدگی به هشدار,Compliance and Risk,Y
REF_ALERT_RESOLUTION,نتیجه رسیدگی به هشدار,NAME_FA,عنوان فارسی,عنوان فارسی نتیجه رسیدگی به هشدار,Compliance and Risk,Y
REF_ALERT_RESOLUTION,نتیجه رسیدگی به هشدار,NAME_EN,عنوان انگلیسی,عنوان انگلیسی نتیجه رسیدگی به هشدار,Compliance and Risk,Y
