TABLE_NAME,MODE,BACKEND_REFERENCE,METADATA_SOURCE
ADDRESS,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
AUDIT_EVENT,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
BENEFICIAL_OWNERSHIP,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
COMMUNICATION_PREFERENCE,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
CONTACT_POINT,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
CONTACT_POINT_ADDRESS,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
EXTERNAL_INQUIRY_RESULT,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
FINANCIAL_PROFILE,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
KYC_CASE,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
ORGANIZATION,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
ORGANIZATION_OFFICER,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PARTY,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_ADDRESS,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_ALERT_CASE,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PARTY_ASSET_LIABILITY,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_AUTHORITY,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_CLASSIFICATION,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_COMPLAINT,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PARTY_COMPLAINT_STATUS_HISTORY,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PARTY_CONSENT,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_CUSTOMER,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_DOCUMENT,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_EMPLOYMENT,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_GENERAL_PREFERENCE,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_GROUP,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PARTY_GROUP_MEMBER,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PARTY_IDENTIFIER,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_INCOME_SOURCE,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_INTERACTION,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PARTY_JOURNEY_EVENT,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PARTY_LICENSE,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_MERGE_HISTORY,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_METRIC_SNAPSHOT,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PARTY_NAME,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_OPERATION_LIMIT,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PARTY_PRODUCT_HOLDING,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PARTY_PRODUCT_RESTRICTION,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PARTY_RECOMMENDATION,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PARTY_REGISTRATION_REQUEST,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PARTY_RELATIONSHIP,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_RISK_ASSESSMENT,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_ROLE,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_SEGMENT_MEMBERSHIP,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PARTY_STATUS_HISTORY,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
PARTY_VALUE_SCORE,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
PERSON,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
SCREENING_RESULT,CIF_OPERATIONAL,YES,CIF-tables4.xlsx/Column
SIGNATURE_SPECIMEN,READ_ONLY_360_SOURCE,YES,CIF-tables4.xlsx/Column
