SOURCE_TABLE,SOURCE_PACKAGE,SOURCE_PACKAGE_FA,FIELD_COUNT,SEED_COUNT,PRIMARY_KEY,DECISION,TARGET,STATUS,NOTE
REF_CUSTOMER_SEGMENT,Analytics and Recommendation,تحلیل، امتیازدهی و پیشنهاد,10,4,CUSTOMER_SEGMENT_CODE,REUSE,DPS.REF_CUSTOMER_SEGMENT_CODE,MAPPED_TO_DPS,منبع بخش‌بندی مشتری از قبل در DPS وجود دارد؛ CUSTOMER_SEGMENT_CODE به CODE نگاشت می‌شود
REF_METRIC,Analytics and Recommendation,تحلیل، امتیازدهی و پیشنهاد,10,3,METRIC_CODE,CREATE,CIF.REF_METRIC,ACTIVE_PHASE_6,در فاز ششم تحلیل، امتیازدهی و پیشنهاد فعال شده است
REF_METRIC_UNIT,Analytics and Recommendation,تحلیل، امتیازدهی و پیشنهاد,10,3,METRIC_UNIT_CODE,CREATE,CIF.REF_METRIC_UNIT,ACTIVE_PHASE_6,در فاز ششم تحلیل، امتیازدهی و پیشنهاد فعال شده است
REF_MODEL,Analytics and Recommendation,تحلیل، امتیازدهی و پیشنهاد,10,3,MODEL_CODE,CREATE,CIF.REF_MODEL,ACTIVE_PHASE_6,در فاز ششم تحلیل، امتیازدهی و پیشنهاد فعال شده است
REF_RECOMMENDATION_STATUS,Analytics and Recommendation,تحلیل، امتیازدهی و پیشنهاد,10,5,RECOMMENDATION_STATUS_CODE,CREATE,CIF.REF_RECOMMENDATION_STATUS,ACTIVE_PHASE_6,در فاز ششم تحلیل، امتیازدهی و پیشنهاد فعال شده است
REF_RECOMMENDATION_TYPE,Analytics and Recommendation,تحلیل، امتیازدهی و پیشنهاد,10,3,RECOMMENDATION_TYPE_CODE,CREATE,CIF.REF_RECOMMENDATION_TYPE,ACTIVE_PHASE_6,در فاز ششم تحلیل، امتیازدهی و پیشنهاد فعال شده است
REF_SCORE_BAND,Analytics and Recommendation,تحلیل، امتیازدهی و پیشنهاد,10,4,SCORE_BAND_CODE,CREATE,CIF.REF_SCORE_BAND,ACTIVE_PHASE_6,در فاز ششم تحلیل، امتیازدهی و پیشنهاد فعال شده است
REF_SCORE_TYPE,Analytics and Recommendation,تحلیل، امتیازدهی و پیشنهاد,10,3,SCORE_TYPE_CODE,CREATE,CIF.REF_SCORE_TYPE,ACTIVE_PHASE_6,در فاز ششم تحلیل، امتیازدهی و پیشنهاد فعال شده است
REF_ALERT_RESOLUTION,Compliance and Risk,تطبیق، ریسک و KYC,10,4,RESOLUTION_CODE,CREATE,CIF.REF_ALERT_RESOLUTION,ACTIVE_PHASE_2,در فاز دوم تطبیق، ریسک و KYC فعال شده است
REF_ALERT_TYPE,Compliance and Risk,تطبیق، ریسک و KYC,10,4,ALERT_TYPE_CODE,CREATE,CIF.REF_ALERT_TYPE,ACTIVE_PHASE_2,در فاز دوم تطبیق، ریسک و KYC فعال شده است
